storeId,store_name,store_image,store_rating,store_category,store_address,store_view,store_review
23,제주선채향,"https://mp-seoul-image-production-s3.mangoplate.com/417820/1536664_1634605018065_30585?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.4,해산물 요리,제주 모슬포/화순 ,"18,656",11
24,포도원흑돼지,"https://mp-seoul-image-production-s3.mangoplate.com/460278_1530511217916235.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.4,고기 요리,제주 제주시내 ,"11,041",11
25,살찐고등어,"https://mp-seoul-image-production-s3.mangoplate.com/131534_1625546780070032.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.4,돈부리 / 일본 카레 / 벤토,제주 함덕/김녕 ,"23,318",12
26,우진해장국,"https://mp-seoul-image-production-s3.mangoplate.com/153948/114224_1495617984049_21416?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,탕 / 찌개 / 전골,제주 제주시내 ,"288,078",374
27,카페태희,"https://mp-seoul-image-production-s3.mangoplate.com/150739/806990_1515055796397_573?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,브런치 / 버거 / 샌드위치,제주 한림/애월 ,"234,034",107
28,선흘곶,"https://mp-seoul-image-production-s3.mangoplate.com/330896/828476_1501746541676_17768?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,한정식 / 백반 / 정통 한식,제주 함덕/김녕 ,"241,724",97
29,일통이반,"https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/186440_1471230240712514.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,해산물 요리,제주 제주시내 ,"115,374",62
30,천짓골식당,"https://mp-seoul-image-production-s3.mangoplate.com/942396_1591161097920260.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,고기 요리,제주 서귀포시내 ,"117,450",54
31,더스푼,"https://mp-seoul-image-production-s3.mangoplate.com/680108_1494316552712920.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,이탈리안,제주 제주시내 ,"46,446",22
32,진아떡집,"https://mp-seoul-image-production-s3.mangoplate.com/665695_1518619727538669.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,카페 / 디저트,제주 제주시내 ,"111,898",83
33,섭지코지로,"https://mp-seoul-image-production-s3.mangoplate.com/1848213_1608871193696856.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,해산물 요리,제주 성산/우도 ,"76,668",43
